Name,Awards,Year,Region
"West, Michael",ACM Software System Award,2016,North America
"Xu, Ping",ACM Gordon Bell Prize,2016,Asia
"Xue, Wei",ACM Gordon Bell Prize,2016,Asia
"Yang, Chao",ACM Gordon Bell Prize,2016,Asia
"Yang, Guangwen",ACM Gordon Bell Prize,2016,Asia
"You, Hongtao",ACM Gordon Bell Prize,2016,Asia
"Zheng, Weinim",ACM Gordon Bell Prize,2016,Asia
"Balay, Satish",SIAM/ACM Prize in Computational Science and Engineering,2015,North America
"Bekas, Costas",ACM Gordon Bell Prize,2015,Europe
"Besta, Maciej",ACM-IEEE CS George Michael Memorial HPC Fellowships,2015,Europe
"Brown, Jed",SIAM/ACM Prize in Computational Science and Engineering,2015,North America
"Chen, Valerie",ACM/CSTA Cutler-Bell Prize in High School Computing,2015,North America
"Curioni, Alessandro",ACM Gordon Bell Prize,2015,Europe
"Diffie, Whitfield",ACM A. M. Turing Award,2015,North America
"Edwards, Matthew",ACM/CSTA Cutler-Bell Prize in High School Computing,2015,North America
"Fox, Armando",ACM Karl V. Karlstrom Outstanding Educator Award,2015,North America
"Ghattas, Omar",ACM Gordon Bell Prize,2015,North America
"Gropp, William D",SIAM/ACM Prize in Computational Science and Engineering,2015,North America
"Gurnis, Michael",ACM Gordon Bell Prize,2015,North America
"Hazra, Aritra",ACM India Doctoral Dissertation Award,2015,Asia
"Hellman, Martin",ACM A. M. Turing Award,2015,North America
"Horvitz, Eric",ACM AAAI Allen Newell Award,2015,North America
"Ineichen, Yves",ACM Gordon Bell Prize,2015,Europe
"Isaac, Tobin",ACM Gordon Bell Prize,2015,North America
"Jouppi, Norman",ACM-IEEE CS Eckert-Mauchly Award,2015,North America
"Knepley, Matthew",SIAM/ACM Prize in Computational Science and Engineering,2015,North America
"Luby, Michael George",ACM Paris Kanellakis Theory and Practice Award,2015,North America
"Malhotra, Dhairya",ACM-IEEE CS George Michael Memorial HPC Fellowships,2015,North America
"Malossi, A. Cristiano I.",ACM Gordon Bell Prize,2015,Europe
"McInnes, Lois C",SIAM/ACM Prize in Computational Science and Engineering,2015,North America
"Mirarab, Siavash",ACM Doctoral Dissertation Award,2015,North America
"Perrott, Ron",ACM Distinguished Service Award,2015,Europe
"Rao, Karthik",ACM/CSTA Cutler-Bell Prize in High School Computing,2015,North America
"Rudi, Johann",ACM Gordon Bell Prize,2015,North America
"Savage, Stefan",ACM Prize in Computing,2015,North America
"Shun, Julian",ACM Doctoral Dissertation Award,2015,North America
"Sidford, Aaron",ACM Doctoral Dissertation Award,2015,North America
"Smith, Barry",SIAM/ACM Prize in Computational Science and Engineering,2015,North America
"Staar, Peter W. J.",ACM Gordon Bell Prize,2015,Europe
"Stadler, Georg",ACM Gordon Bell Prize,2015,North America
"Stallman, Richard",ACM Software System Award,2015,North America
"Waters, Brent",ACM Grace Murray Hopper Award,2015,North America
"White, John R.",ACM Presidential Award,2015,North America
"Widom, Jennifer",ACM Athena Lecturer Award,2015,North America
"Yelick, Katherine",ACM-IEEE CS Ken Kennedy Award,2015,North America
"Zhang, Hong",SIAM/ACM Prize in Computational Science and Engineering,2015,North America
"Zou, Cherry",ACM/CSTA Cutler-Bell Prize in High School Computing,2015,North America
"Bank, Joseph A.",ACM Gordon Bell Prize,2014,North America
"Batson, Brannon",ACM Gordon Bell Prize,2014,North America
"Boneh, Dan",ACM Prize in Computing,2014,North America
"Breuer, Alexander",ACM-IEEE CS George Michael Memorial HPC Fellowships,2014,Europe
"Butts, J. Adam",ACM Gordon Bell Prize,2014,North America
"Chao, Jack C.",ACM Gordon Bell Prize,2014,North America
"Criswell, John T",ACM Doctoral Dissertation Award,2014,North America
"Demmel, James",ACM Paris Kanellakis Theory and Practice Award,2014,North America
"Deneroff, Martin M.",ACM Gordon Bell Prize,2014,North America
"Dror, Ron",ACM Gordon Bell Prize,2014,North America
"Duchi, John C.",ACM Doctoral Dissertation Award,2014,North America
"Dumais, Susan T",ACM Athena Lecturer Award,2014,North America
"Even, Amos",ACM Gordon Bell Prize,2014,North America
"Fenton, Christopher H.",ACM Gordon Bell Prize,2014,North America
"Forte, Anthony",ACM Gordon Bell Prize,2014,North America
"Gagliardo, Joseph",ACM Gordon Bell Prize,2014,North America
"Gill, Gennette",ACM Gordon Bell Prize,2014,North America
"Greskamp, Brian",ACM Gordon Bell Prize,2014,North America
"Grossman, J.P.",ACM Gordon Bell Prize,2014,North America
"Hall, Wendy",Outstanding Contribution to ACM Award,2014,Europe
"Ho, C. Richard",ACM Gordon Bell Prize,2014,North America
"Ierardi, Douglas J",ACM Gordon Bell Prize,2014,North America
"Iserovich, Lev",ACM Gordon Bell Prize,2014,North America
"Killebrew, Daniel",ACM Gordon Bell Prize,2014,North America
"Kleinberg, Jon",ACM AAAI Allen Newell Award,2014,North America
"Kuskin, Jeffrey",ACM Gordon Bell Prize,2014,North America
"Larson, Richard",ACM Gordon Bell Prize,2014,North America
"Layman, Timothy",ACM Gordon Bell Prize,2014,North America
"Lee, Li-Siang",ACM Gordon Bell Prize,2014,North America
"Leiserson, Charles E",ACM-IEEE CS Ken Kennedy Award,2014,North America
"Lerer, Adam K.",ACM Gordon Bell Prize,2014,North America
"Li, Chester",ACM Gordon Bell Prize,2014,North America
"Mackenzie, Kenneth M.",ACM Gordon Bell Prize,2014,North America
"Menon, Harshitha",ACM-IEEE CS George Michael Memorial HPC Fellowships,2014,North America
"Mok, Shark Yeuk-Hai",ACM Gordon Bell Prize,2014,North America
"Moraes, Mark",ACM Gordon Bell Prize,2014,North America
"Mudge, Trevor",ACM-IEEE CS Eckert-Mauchly Award,2014,North America
"Mueller, Rolf",ACM Gordon Bell Prize,2014,North America
"Murphy, Robin R",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2014,North America
"Nociolo, Larry",ACM Gordon Bell Prize,2014,North America
"Peticolas, Jon L.",ACM Gordon Bell Prize,2014,North America
"Quan, Terry",ACM Gordon Bell Prize,2014,North America
"Ramot, Daniel",ACM Gordon Bell Prize,2014,North America
"Rashid, Rick",ACM Software System Award,2014,North America
"Ratnasamy, Sylvia",ACM Grace Murray Hopper Award,2014,Europe
"Sahami, Mehran",ACM Presidential Award,2014,North America
"Salmon, John",ACM Gordon Bell Prize,2014,North America
"Scarpazza, Daniele Paolo",ACM Gordon Bell Prize,2014,North America
"Schafer, U. Ben",ACM Gordon Bell Prize,2014,North America
"Schafter, Uriel Ben",ACM Gordon Bell Prize,2014,North America
"Sen, Rijurekha",ACM India Doctoral Dissertation Award,2014,Asia
"Shaw, David E.",ACM Gordon Bell Prize,2014,North America
"Siddique, Naseer",ACM Gordon Bell Prize,2014,North America
"Snyder, Chris",ACM Gordon Bell Prize,2014,North America
"Snyder, Christopher W.",ACM Gordon Bell Prize,2014,North America
"Spengler, Jochen",ACM Gordon Bell Prize,2014,North America
"Sreejith, A V",ACM India Doctoral Dissertation Award,2014,Asia
"Stonebraker, Michael",ACM A. M. Turing Award,2014,North America
"Tang, Ping Tak Peter",ACM Gordon Bell Prize,2014,North America
"Tevanian, Avie",ACM Software System Award,2014,North America
"Theobald, Michael",ACM Gordon Bell Prize,2014,North America
"Toma, Horia",ACM Gordon Bell Prize,2014,North America
"Towles, Brian",ACM Gordon Bell Prize,2014,North America
"Vitale, Benjamin",ACM Gordon Bell Prize,2014,North America
"Wang, Stanley C.",ACM Gordon Bell Prize,2014,North America
"Wing, Jeannette M.",ACM Distinguished Service Award,2014,North America
"Wulf, William A",ACM Karl V. Karlstrom Outstanding Educator Award,2014,North America
"Young, Cliff",ACM Gordon Bell Prize,2014,North America
"Zaharia, Matei Alexandru",ACM Doctoral Dissertation Award,2014,North America
"Adams, Nikolaus",ACM Gordon Bell Prize,2013,Europe
"Ballard, Grey",ACM Doctoral Dissertation Award,2013,North America
"Barras, Bruno",ACM Software System Award,2013,Europe
"Bekas, Costas",ACM Gordon Bell Prize,2013,Europe
"Bertot, Yves",ACM Software System Award,2013,Europe
"Bertsch, Adam",ACM Gordon Bell Prize,2013,North America
"Blei, David M.",ACM Prize in Computing,2013,North America
"Blumofe, Robert",ACM Paris Kanellakis Theory and Practice Award,2013,North America
"Cappo, Donna",Outstanding Contribution to ACM Award,2013,North America
"Castéran, Pierre",ACM Software System Award,2013,Europe
"Coquand, Thierry",ACM Software System Award,2013,Europe
"Curioni, Alessandro",ACM Gordon Bell Prize,2013,Europe
"Dongarra, Jack",ACM-IEEE CS Ken Kennedy Award,2013,North America
"Felzenszwalb, Pedro F",ACM Grace Murray Hopper Award,2013,North America
"Filliâtre, Jean-Christophe",ACM Software System Award,2013,Europe
"Futral, Scott",ACM Gordon Bell Prize,2013,North America
"Gagliardi, Fabrizio",ACM Presidential Award,2013,Europe
"Garg, Sanjam",ACM Doctoral Dissertation Award,2013,Asia
"Gharan, Shayan Oveis",ACM Doctoral Dissertation Award,2013,Middle East
"Goodman, James",ACM-IEEE CS Eckert-Mauchly Award,2013,North America
"Goos, Gerhard T",ACM Distinguished Service Award,2013,Europe
"Hadjidoukas, Panagiotis",ACM Gordon Bell Prize,2013,Europe
"Harris, Russell",Outstanding Contribution to ACM Award,2013,North America
"Hartmanis, Juris",ACM Distinguished Service Award,2013,North America
"Hejazialhosseini, Babak",ACM Gordon Bell Prize,2013,Middle East
"Herbelin, Hugo",ACM Software System Award,2013,Europe
"Huet, Gerard P",ACM Software System Award,2013,Europe
"Koumoutsakos, Petros",ACM Gordon Bell Prize,2013,Europe
"Lamport, Leslie",ACM A. M. Turing Award,2013,North America
"Leiserson, Charles E",ACM Paris Kanellakis Theory and Practice Award,2013,North America
"Lifflander, Jonathan",ACM-IEEE CS George Michael Memorial HPC Fellowships,2013,North America
"Liu, Yunhao",ACM Presidential Award,2013,Asia
"Murthy, Chetan",ACM Software System Award,2013,Europe
"Narayanan, P J",ACM Presidential Award,2013,Asia
"Paulin-Mohring, Christine",ACM Software System Award,2013,Europe
"Petzold, Linda",SIAM/ACM Prize in Computational Science and Engineering,2013,North America
"Rodger, Susan",ACM Karl V. Karlstrom Outstanding Educator Award,2013,North America
"Rossinelli, Diego",ACM Gordon Bell Prize,2013,Europe
"Saptharishi, Ramprasad",ACM India Doctoral Dissertation Award,2013,Asia
"Schmidt, Steffen",ACM Gordon Bell Prize,2013,Europe
"Solomonik, Edgar",ACM-IEEE CS George Michael Memorial HPC Fellowships,2013,North America
"van Leeuwen, Jan",ACM Distinguished Service Award,2013,Europe
"Yelick, Katherine",ACM Athena Lecturer Award,2013,North America
"Adve, Vikram",ACM Software System Award,2012,North America
"Avizienis, Algirdas",ACM-IEEE CS Eckert-Mauchly Award,2012,North America
"Bartoschek, Thomas",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2012,Europe
"Broder, Andrei",ACM Paris Kanellakis Theory and Practice Award,2012,North America
"Casado, Martin",ACM Grace Murray Hopper Award,2012,North America
"Charikar, Moses",ACM Paris Kanellakis Theory and Practice Award,2012,North America
"Cheng, Evan",ACM Software System Award,2012,North America
"Dean, Jeffrey A",ACM Prize in Computing,2012,North America
"Gabrys, Ryan",ACM-IEEE CS George Michael Memorial HPC Fellowships,2012,North America
"Ghemawat, Sanjay",ACM Prize in Computing,2012,North America
"Goldwasser, Shafi",ACM A. M. Turing Award,2012,North America
"Gollakota, Shyamnath",ACM Doctoral Dissertation Award,2012,North America
"Gupta, Gagan",ACM-IEEE CS George Michael Memorial HPC Fellowships,2012,North America
"Hawkins, Peter",ACM Doctoral Dissertation Award,2012,Pacific Rim
"Indyk, Piotr",ACM Paris Kanellakis Theory and Practice Award,2012,North America
"Ishiyama, Tomoaki",ACM Gordon Bell Prize,2012,Asia
"Katabi, Dina",ACM Grace Murray Hopper Award,2012,North America
"Kedem, Zvi",Outstanding Contribution to ACM Award,2012,North America
"Lattner, Chris",ACM Software System Award,2012,North America
"Lynch, Nancy",ACM Athena Lecturer Award,2012,North America
"Makino, Junichiro",ACM Gordon Bell Prize,2012,Asia
"Mehta, Ruta",ACM India Doctoral Dissertation Award,2012,Asia
"Micali, Silvio",ACM A. M. Turing Award,2012,North America
"Nitadori, Keigo",ACM Gordon Bell Prize,2012,Asia
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2012,North America
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2012,North America
"Roberts, Eric S",ACM Karl V. Karlstrom Outstanding Educator Award,2012,North America
"Schoening, Johannes",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2012,Europe
"Shoham, Yoav",ACM AAAI Allen Newell Award,2012,North America
"Soffa, Mary Lou",ACM-IEEE CS Ken Kennedy Award,2012,North America
"Srinivasan, Srikanth",ACM India Doctoral Dissertation Award,2012,Asia
"Sun, Yanhua",ACM-IEEE CS George Michael Memorial HPC Fellowships,2012,North America
"Tennenholtz, Moshe",ACM AAAI Allen Newell Award,2012,Europe
"Valero, Mateo",ACM Distinguished Service Award,2012,Europe
"Valiant, Gregory",ACM Doctoral Dissertation Award,2012,North America
"Abelson, Hal",ACM Karl V. Karlstrom Outstanding Educator Award,2011,North America
"Adams, Greg",ACM Software System Award,2011,North America
"Aoki, Takayuki",ACM Gordon Bell Prize,2011,Asia
"Arora, Sanjeev",ACM Prize in Computing,2011,North America
"Bautista Gomez, Leonardo Arturo",ACM-IEEE CS George Michael Memorial HPC Fellowships,2011,North America
"Bernaschi, Massimo",ACM Gordon Bell Prize,2011,Europe
"Bisson, Mauro",ACM Gordon Bell Prize,2011,North America
"Boku, Taisuke",ACM Gordon Bell Prize,2011,Asia
"Boykin, Timothy B.",ACM Gordon Bell Prize,2011,North America
"Cooper, Seth",ACM Doctoral Dissertation Award,2011,North America
"Duchene, Michael J.",ACM-IEEE CS George Michael Memorial HPC Fellowships,2011,North America
"Duimovich, John",ACM Software System Award,2011,North America
"Endo, Toshio",ACM Gordon Bell Prize,2011,Asia
"Fatica, Massimiliano",ACM Gordon Bell Prize,2011,North America
"Fedosov, Dimitry",ACM Gordon Bell Prize,2011,Europe
"Fichtner, Wolfgang",ACM Gordon Bell Prize,2011,Europe
"Forrest, Stephanie",ACM AAAI Allen Newell Award,2011,North America
"Gamma, Erich",ACM Software System Award,2011,Europe
"Gotlieb, Calvin C.",Outstanding Contribution to ACM Award,2011,North America
"Graham, Susan L",ACM-IEEE CS Ken Kennedy Award,2011,North America
"Grinberg, Leopold",ACM Gordon Bell Prize,2011,North America
"Haaland, Kevin",ACM Software System Award,2011,North America
"Hasegawa, Yukihiro",ACM Gordon Bell Prize,2011,Asia
"Insley, Joseph A",ACM Gordon Bell Prize,2011,North America
"Iwata, Junichi",ACM Gordon Bell Prize,2011,Asia
"Jones, Julian",ACM Software System Award,2011,North America
"Karniadakis, George",ACM Gordon Bell Prize,2011,North America
"Klimeck, Gerhard",ACM Gordon Bell Prize,2011,North America
"Kumaran, Kalyan",ACM Gordon Bell Prize,2011,North America
"Kurokawa, Motoyoshi",ACM Gordon Bell Prize,2011,Asia
"Laguna, Ignacio",ACM-IEEE CS George Michael Memorial HPC Fellowships,2011,North America
"Luisier, Mathieu",ACM Gordon Bell Prize,2011,Europe
"Madry, Aleksander",ACM Doctoral Dissertation Award,2011,North America
"Maruyama, Naoya",ACM Gordon Bell Prize,2011,Asia
"MATSUOKA, SATOSHI",ACM Gordon Bell Prize,2011,Asia
"MATSUOKA, SATOSHI",ACM Gordon Bell Prize,2011,Asia
"Melchionna, Simone",ACM Gordon Bell Prize,2011,Europe
"Minami, Kazuo",ACM Gordon Bell Prize,2011,Asia
"Morozov, Vitali A",ACM Gordon Bell Prize,2011,North America
"Mulet, Philippe",ACM Software System Award,2011,Europe
"Northover, Steve",ACM Software System Award,2011,North America
"Nukada, Akira",ACM Gordon Bell Prize,2011,Asia
"Oden, J. Tinsley",SIAM/ACM Prize in Computational Science and Engineering,2011,North America
"Olson, Judith S",ACM Athena Lecturer Award,2011,North America
"Oshiyama, Atsushi",ACM Gordon Bell Prize,2011,Asia
"Papka, Michael E.",ACM Gordon Bell Prize,2011,North America
"Pearl, Judea",ACM A. M. Turing Award,2011,North America
"Que, Xinyu",ACM-IEEE CS George Michael Memorial HPC Fellowships,2011,North America
"Samet, Hanan",ACM Paris Kanellakis Theory and Practice Award,2011,North America
"Shimokawabe, Takashi",ACM Gordon Bell Prize,2011,Asia
"Shoji, Fumiyoshi",ACM Gordon Bell Prize,2011,Asia
"Sohi, Gurindar S",ACM-IEEE CS Eckert-Mauchly Award,2011,North America
"Steurer, David",ACM Doctoral Dissertation Award,2011,North America
"Succi, Suro",ACM Gordon Bell Prize,2011,Europe
"Takahashi, Daisuke",ACM Gordon Bell Prize,2011,Asia
"Takaki, Tomohiro",ACM Gordon Bell Prize,2011,Asia
"Thomson, Dave",ACM Software System Award,2011,North America
"Tsuji, Miwako",ACM Gordon Bell Prize,2011,Asia
"Uno, Atsuya",ACM Gordon Bell Prize,2011,Asia
"Von Ahn, Luis",ACM Grace Murray Hopper Award,2011,North America
"Weigand, John",ACM Software System Award,2011,North America
"Wulf, William A",ACM Distinguished Service Award,2011,North America
"Yamanaka, Akinori",ACM Gordon Bell Prize,2011,Asia
"Yokokawa, Mitsuo",ACM Gordon Bell Prize,2011,Asia
"Baghsorkhi, Sara",ACM-IEEE CS George Michael Memorial HPC Fellowships,2010,North America
"Bergstrom, Peter",ACM Software System Award,2010,North America
"Biros, George",ACM Gordon Bell Prize,2010,North America
"Chandramowlishwaran, Aparna",ACM Gordon Bell Prize,2010,North America
"Chandramowlishwaran, Aparna",ACM-IEEE CS George Michael Memorial HPC Fellowships,2010,North America
"Dally, William",ACM-IEEE CS Eckert-Mauchly Award,2010,North America
"DeBlasi, Joseph S",Outstanding Contribution to ACM Award,2010,North America
"Eguiluz, Adolfo G.",ACM Gordon Bell Prize,2010,North America
"Ericson, Barbara Jane",ACM Karl V. Karlstrom Outstanding Educator Award,2010,North America
"Gentry, Craig",ACM Grace Murray Hopper Award,2010,North America
"Gordon, Lee R",ACM Software System Award,2010,North America
"Guzdial, Mark",ACM Karl V. Karlstrom Outstanding Educator Award,2010,North America
"Hamada, Tsuyoshi",ACM Gordon Bell Prize,2010,Asia
"Herlocker, Jonathan",ACM Software System Award,2010,North America
"Iacovou, Neophytos",ACM Software System Award,2010,North America
"Irwin, Mary Jane",ACM Athena Lecturer Award,2010,North America
"Joseph, Mathai",ACM Presidential Award,2010,Asia
"Kaashoek, Frans",ACM Prize in Computing,2010,North America
"Kanade, Takeo",ACM AAAI Allen Newell Award,2010,North America
"Konstan, Joseph A",ACM Software System Award,2010,North America
"Kozhevnikov, Anton",ACM Gordon Bell Prize,2010,Europe
"Kuck, David J",ACM-IEEE CS Ken Kennedy Award,2010,North America
"Lam, Shyong K.",ACM Software System Award,2010,North America
"Lashuk, Ilya",ACM Gordon Bell Prize,2010,North America
"Malhotra, Dhairya",ACM Gordon Bell Prize,2010,North America
"Maltz, David",ACM Software System Award,2010,North America
"McNee, Sean M",ACM Software System Award,2010,North America
"Mehlhorn, Kurt",ACM Paris Kanellakis Theory and Practice Award,2010,Europe
"Miller, Bradley N",ACM Software System Award,2010,North America
"Moon, Logan",ACM Gordon Bell Prize,2010,North America
"Nitadori, Keigo",ACM Gordon Bell Prize,2010,Asia
"Norman, Matthew R.",ACM-IEEE CS George Michael Memorial HPC Fellowships,2010,North America
"Parno, Bryan",ACM Doctoral Dissertation Award,2010,North America
"Rahimian, Abtin",ACM Gordon Bell Prize,2010,North America
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2010,North America
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2010,North America
"Resnick, Paul J",ACM Software System Award,2010,North America
"Riedl, John T",ACM Software System Award,2010,North America
"Sampath, Rahul",ACM Gordon Bell Prize,2010,North America
"Schulthess, Thomas",ACM Gordon Bell Prize,2010,Europe
"Shringarpure, Aashay",ACM Gordon Bell Prize,2010,North America
"Snyder, Benjamin",ACM Doctoral Dissertation Award,2010,North America
"Suchak, Mitesh",ACM Software System Award,2010,North America
"Valiant, Leslie G",ACM A. M. Turing Award,2010,North America
"Veerapaneni, Shravan",ACM Gordon Bell Prize,2010,North America
"Vetter, Jeffrey S",ACM Gordon Bell Prize,2010,North America
"Vuduc, Richard W.",ACM Gordon Bell Prize,2010,North America
"Weyuker, Elaine",ACM Presidential Award,2010,North America
"Wilhelm, Reinhard",ACM Distinguished Service Award,2010,Europe
"Zorin, Denis",ACM Gordon Bell Prize,2010,North America
"Abowd, Gregory D.",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2009,North America
"Ananthanarayanan, Rajapopal",ACM Gordon Bell Prize,2009,North America
"Bank, Joseph A.",ACM Gordon Bell Prize,2009,North America
"Batson, Brannon",ACM Gordon Bell Prize,2009,North America
"Bellare, Mihir",ACM Paris Kanellakis Theory and Practice Award,2009,North America
"Berman, Francine",ACM-IEEE CS Ken Kennedy Award,2009,North America
"Bhatele, Abhinav",ACM-IEEE CS George Michael Memorial HPC Fellowships,2009,North America
"Bowers, Kevin J.",ACM Gordon Bell Prize,2009,North America
"Brewer, Eric A.",ACM Prize in Computing,2009,North America
"Brown, Gregory",ACM Gordon Bell Prize,2009,North America
"Bugnion, Edouard",ACM Software System Award,2009,Europe
"Chow, Edmond",ACM Gordon Bell Prize,2009,North America
"Deneroff, Martin M.",ACM Gordon Bell Prize,2009,North America
"Devine, Scott",ACM Software System Award,2009,North America
"Dror, Ron",ACM Gordon Bell Prize,2009,North America
"Eastwood, Michael P.",ACM Gordon Bell Prize,2009,North America
"Eggers, Susan",ACM Athena Lecturer Award,2009,North America
"Eisenbach, Markus",ACM Gordon Bell Prize,2009,North America
"Emer, Joel",ACM-IEEE CS Eckert-Mauchly Award,2009,North America
"Esser, Steven K.",ACM Gordon Bell Prize,2009,North America
"Felleisen, Matthias",ACM Karl V. Karlstrom Outstanding Educator Award,2009,North America
"Gentry, Craig",ACM Doctoral Dissertation Award,2009,North America
"Grossman, J.P.",ACM Gordon Bell Prize,2009,North America
"Gunawi, Haryadi S",ACM Doctoral Dissertation Award,2009,North America
"Hamada, Tsuyoshi",ACM Gordon Bell Prize,2009,Asia
"Ierardi, Douglas John",ACM Gordon Bell Prize,2009,North America
"Jordan, Michael  I.",ACM AAAI Allen Newell Award,2009,North America
"Klepeis, John L.",ACM Gordon Bell Prize,2009,North America
"Kuskin, Jeffrey",ACM Gordon Bell Prize,2009,North America
"Larkin, Jeffrey M.",ACM Gordon Bell Prize,2009,North America
"Larson, Richard",ACM Gordon Bell Prize,2009,North America
"Lazowska, Edward",ACM Distinguished Service Award,2009,North America
"Lindorff-Larsen, Kresten",ACM Gordon Bell Prize,2009,North America
"Mackenzie, Kenneth M.",ACM Gordon Bell Prize,2009,North America
"Maragakis, Paul",ACM Gordon Bell Prize,2009,North America
"Modha, Dharmendra",ACM Gordon Bell Prize,2009,North America
"Moler, Cleve",SIAM/ACM Prize in Computational Science and Engineering,2009,North America
"Moraes, Mark",ACM Gordon Bell Prize,2009,North America
"Narumi, Tetsu",ACM Gordon Bell Prize,2009,Asia
"Nicholson, Donald M.",ACM Gordon Bell Prize,2009,North America
"Nitadori, Keigo",ACM Gordon Bell Prize,2009,Asia
"Oguri, Kiyoshi",ACM Gordon Bell Prize,2009,Asia
"Piana, Stefano",ACM Gordon Bell Prize,2009,North America
"Platzer, Andre",ACM Doctoral Dissertation Award,2009,North America
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2009,North America
"Randles, Amanda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2009,North America
"Rogaway, Phillip",ACM Paris Kanellakis Theory and Practice Award,2009,North America
"Rosenblum, Mendel",ACM Software System Award,2009,North America
"Roughgarden, Tim",ACM Grace Murray Hopper Award,2009,North America
"Salmon, John",ACM Gordon Bell Prize,2009,North America
"Schulthess, Thomas",ACM Gordon Bell Prize,2009,Europe
"Shan, Yibing",ACM Gordon Bell Prize,2009,North America
"Shaw, David E.",ACM Gordon Bell Prize,2009,North America
"Silberstein, Mark",ACM-IEEE CS George Michael Memorial HPC Fellowships,2009,Europe
"Simon, Horst D",ACM Gordon Bell Prize,2009,North America
"Snavely, Keith Noah",ACM Doctoral Dissertation Award,2009,North America
"Sugerman, Jeremy",ACM Software System Award,2009,North America
"Taiji, Makoto",ACM Gordon Bell Prize,2009,Asia
"Tallent, Nathan",ACM-IEEE CS George Michael Memorial HPC Fellowships,2009,North America
"Thacker, Charles P",ACM A. M. Turing Award,2009,North America
"Towles, Brian",ACM Gordon Bell Prize,2009,North America
"Vardi, Moshe Y",Outstanding Contribution to ACM Award,2009,North America
"Wang, Ellen",ACM Software System Award,2009,North America
"Yasuoka, Kenji",ACM Gordon Bell Prize,2009,Asia
"Yokota, Rio",ACM Gordon Bell Prize,2009,Europe
"Young, Cliff",ACM Gordon Bell Prize,2009,North America
"Zhou, Chenggang",ACM Gordon Bell Prize,2009,North America
"Alvarez, Gonzalo",ACM Gordon Bell Prize,2008,North America
"Bailey, David",ACM Gordon Bell Prize,2008,North America
"Bourne, Stephen",ACM Presidential Award,2008,North America
"Chen, Yong",ACM-IEEE CS George Michael Memorial HPC Fellowships,2008,North America
"Cortes, Corinna",ACM Paris Kanellakis Theory and Practice Award,2008,North America
"Couch, Sean M.",ACM-IEEE CS George Michael Memorial HPC Fellowships,2008,North America
"D'Azevedo, Eduardo Francisco",ACM Gordon Bell Prize,2008,North America
"Daskalakis, Constantinos",ACM Doctoral Dissertation Award,2008,North America
"DeWitt, David",ACM Software System Award,2008,North America
"Eisenbach, Markus",ACM Gordon Bell Prize,2008,North America
"Engler, Dawson",ACM Grace Murray Hopper Award,2008,North America
"Erlich, Yaniv",ACM-IEEE CS George Michael Memorial HPC Fellowships,2008,North America
"Gerber, Robert",ACM Software System Award,2008,North America
"Ghandeharizadeh, Shahram",ACM Software System Award,2008,North America
"Goldwasser, Shafi",ACM Athena Lecturer Award,2008,North America
"Graefe, Goetz",ACM Software System Award,2008,North America
"Graves, Wayne",Outstanding Contribution to ACM Award,2008,North America
"Grosz, Barbara J",ACM AAAI Allen Newell Award,2008,North America
"Halpern, Joseph",ACM AAAI Allen Newell Award,2008,North America
"Heytens, Michael L",ACM Software System Award,2008,North America
"Hoiem, Derek",ACM Doctoral Dissertation Award,2008,North America
"Hopcroft, John E",ACM Karl V. Karlstrom Outstanding Educator Award,2008,North America
"Hsiao, Hui-I",ACM Software System Award,2008,North America
"Katti, Sachin",ACM Doctoral Dissertation Award,2008,North America
"Kent, Paul",ACM Gordon Bell Prize,2008,North America
"Kiswany, Samer Al",ACM-IEEE CS George Michael Memorial HPC Fellowships,2008,North America
"Kleinberg, Jon",ACM Prize in Computing,2008,North America
"Krishna, Murali",ACM Software System Award,2008,North America
"Larkin, Jeffrey M.",ACM Gordon Bell Prize,2008,North America
"Lee, Byounghak",ACM Gordon Bell Prize,2008,North America
"Levesque, John M.",ACM Gordon Bell Prize,2008,North America
"Liskov, Barbara",ACM A. M. Turing Award,2008,North America
"Maier, Thomas A.",ACM Gordon Bell Prize,2008,North America
"Mason, Douglas",ACM-IEEE CS George Michael Memorial HPC Fellowships,2008,North America
"Maxwell, Don E.",ACM Gordon Bell Prize,2008,North America
"Meredith, Jeremy",ACM Gordon Bell Prize,2008,North America
"Meza, Juan C",ACM Gordon Bell Prize,2008,North America
"Naughton, Jeffrey F",ACM Software System Award,2008,North America
"Patterson, David",ACM-IEEE CS Eckert-Mauchly Award,2008,North America
"Quest, Daniel J",ACM-IEEE CS George Michael Memorial HPC Fellowships,2008,North America
"Rous, Bernard",Outstanding Contribution to ACM Award,2008,North America
"Ryan, Pat",ACM Presidential Award,2008,North America
