Name,Awards,Year,Region
"Xiao, Chaowei",ACM Gordon Bell Prize,2022,North America
"Xie, Zhen",ACM Gordon Bell Prize,2022,North America
"Yadav, Deepika",ACM India Doctoral Dissertation Award,2022,Asia
"Zaim, Neil",ACM Gordon Bell Prize,2022,Europe
"Zhang, Bin",ACM Gordon Bell Prize,2022,North America
"Zhang, Weiqun",ACM Gordon Bell Prize,2022,North America
"Zvyagin, Maxim",ACM Gordon Bell Prize,2022,North America
"Zvyagin, Maxim",ACM Gordon Bell Prize,2022,North America
"Abbeel, Pieter",ACM Prize in Computing,2021,North America
"Abramson, David A",ACM-IEEE CS Ken Kennedy Award,2021,Pacific Rim
"Altman, Erik R",ACM Distinguished Service Award,2021,North America
"Ando, Kazuto",ACM Gordon Bell Prize,2021,Asia
"Bale, Rahul",ACM Gordon Bell Prize,2021,Asia
"Bharatia, Harshal V",ACM/CSTA Cutler-Bell Prize in High School Computing,2021,North America
"Blazy, Sandrine",ACM Software System Award,2021,Europe
"Blum, Avrim",ACM Paris Kanellakis Theory and Practice Award,2021,Europe
"Brewer, Judy",ACM Policy Award,2021,North America
"Brodley, Carla",ACM Frances E. Allen Award for Outstanding Mentoring,2021,North America
"Chen, Huarong",ACM Gordon Bell Prize,2021,Asia
"Dargaye, Zaynah",ACM Software System Award,2021,Europe
"Dasgupta, Gargi Banerjee",ACM India Outstanding Contributions in Computing by a Woman Award,2021,Asia
"Dexun, Chen",ACM Gordon Bell Prize,2021,Asia
"Dinur, Irit",ACM Paris Kanellakis Theory and Practice Award,2021,Europe
"Dongarra, Jack",ACM A. M. Turing Award,2021,North America
"Dwork, Cynthia",ACM Paris Kanellakis Theory and Practice Award,2021,North America
"Fu, Haohuan",ACM Gordon Bell Prize,2021,Asia
"Gomes, Carla",ACM AAAI Allen Newell Award,2021,North America
"Guo, Chu",ACM Gordon Bell Prize,2021,Asia
"Hidayetoglu, Mert",ACM-IEEE CS George Michael Memorial HPC Fellowships,2021,North America
"Howard, Ayanna",ACM Athena Lecturer Award,2021,North America
"Huang, Heliang",ACM Gordon Bell Prize,2021,Asia
"Jain, Prateek",ACM India Early Career Researcher Award,2021,Asia
"Jawahar, Cv",ACM India Outstanding Contribution to Computing Education Award,2021,Asia
"Jourdan, Jacques-Henri",ACM Software System Award,2021,Europe
"Karniadakis, George",SIAM/ACM Prize in Computational Science and Engineering,2021,Europe
"Kato, Jun",IPSJ/ACM Award for Early Career Contributions to Global Research,2021,Asia
"Leroy, Xavier",ACM Software System Award,2021,Europe
"Li, Chunggang",ACM Gordon Bell Prize,2021,Asia
"Li, Nancy",ACM Gordon Bell Prize,2021,Asia
"LI, Xuelong",CCF-ACM Award for Artificial Intelligence,2021,Asia
"Liu, Alexander",ACM Gordon Bell Prize,2021,Asia
"Liu, Lucy",ACM Gordon Bell Prize,2021,Asia
"Martonosi, Margaret",ACM-IEEE CS Eckert-Mauchly Award,2021,North America
"MATSUOKA, SATOSHI",ACM Gordon Bell Prize,2021,Asia
"McSherry, Frank",ACM Paris Kanellakis Theory and Practice Award,2021,North America
"Mildenhall, Benjamin",ACM Doctoral Dissertation Award,2021,North America
"Narayan, Yash",ACM/CSTA Cutler-Bell Prize in High School Computing,2021,North America
"Nissim, Kobbi",ACM Paris Kanellakis Theory and Practice Award,2021,North America
"Onishi, Keiji",ACM Gordon Bell Prize,2021,Asia
"Patel, Tirthak",ACM-IEEE CS George Michael Memorial HPC Fellowships,2021,North America
"Peng, Dajia",ACM Gordon Bell Prize,2021,Asia
"Popa, Raluca Ada",ACM Grace Murray Hopper Award,2021,North America
"Raghavan, Manish",ACM Doctoral Dissertation Award,2021,North America
"Roychowdhury, Shoumik",ACM/CSTA Cutler-Bell Prize in High School Computing,2021,North America
"Schmidt, Michael",ACM Software System Award,2021,Europe
"Schommer, Bernhard",ACM Software System Award,2021,Europe
"Shah, Hiya",ACM/CSTA Cutler-Bell Prize in High School Computing,2021,North America
"Sharma, Roohani",ACM India Doctoral Dissertation Award,2021,Asia
"Smith, Adam",ACM Paris Kanellakis Theory and Practice Award,2021,North America
"Song, Jiawei",ACM Gordon Bell Prize,2021,Asia
"Srinivasan, Pratul",ACM Doctoral Dissertation Award,2021,North America
"Tristan, Jean-Baptiste",ACM Software System Award,2021,North America
"Tsipras, Dimitris",ACM Doctoral Dissertation Award,2021,North America
"Tsubokura, Makoto",ACM Gordon Bell Prize,2021,Asia
"Vashishth, Shikhar",ACM India Doctoral Dissertation Award,2021,Asia
"Wang, Zhen",ACM Gordon Bell Prize,2021,Asia
"Weiss, Mark Allen",ACM Karl V. Karlstrom Outstanding Educator Award,2021,North America
"Wu, Wenzhao",ACM Gordon Bell Prize,2021,Asia
"Yang, Daisy",ACM Gordon Bell Prize,2021,Asia
"Zhao, Pengpeng",ACM Gordon Bell Prize,2021,Asia
"Aaronson, Scott J",ACM Prize in Computing,2020,North America
"Aho, Alfred V",ACM A. M. Turing Award,2020,North America
"Amaro, Rommie E.",ACM Gordon Bell Prize,2020,North America
"Anderson, Richard",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2020,North America
"Ankireddy, Sahithi",ACM/CSTA Cutler-Bell Prize in High School Computing,2020,North America
"Azar, Yossi",ACM Paris Kanellakis Theory and Practice Award,2020,Europe
"Barroso, Luiz Andre",ACM-IEEE CS Eckert-Mauchly Award,2020,Latin America
"Batra, Jatin",ACM India Doctoral Dissertation Award,2020,Asia
"Bhagwan, Ranjita",ACM India Outstanding Contributions in Computing by a Woman Award,2020,Asia
"Bondhugula, Uday Reddy",ACM India Early Career Researcher Award,2020,Asia
"Bostic, Keith",ACM Software System Award,2020,North America
"Broder, Andrei",ACM Paris Kanellakis Theory and Practice Award,2020,North America
"Car, Roberto",ACM Gordon Bell Prize,2020,North America
"Casalino, Lorenzo",ACM Gordon Bell Prize,2020,North America
"Chayes, Jennifer",ACM Distinguished Service Award,2020,North America
"Chen, Mohan",ACM Gordon Bell Prize,2020,Asia
